qid,system,time,k
216,A,86.7848,10
217,A,33.2483,10
218,A,24.4823,10
219,A,57.8383,10
220,A,32.4311,10
221,A,43.0428,10
222,A,90.8156,10
223,A,48.4843,10
224,A,66.1951,10
225,A,82.6147,10
226,A,42.1111,10
227,A,91.7545,10
228,A,22.7778,10
229,A,0.765245,10
230,A,10.6253,10
231,A,22.1691,10
232,A,90.4157,10
233,A,97.5817,10
234,A,31.6882,10
235,A,41.7292,10
236,A,23.1625,10
237,A,40.4751,10
238,A,79.3294,10
239,A,90.3863,10
240,A,91.3577,10
241,A,41.2243,10
242,A,64.3145,10
243,A,89.0116,10
244,A,49.6514,10
245,A,31.0052,10
246,A,66.3405,10
247,A,53.1237,10
248,A,48.6054,10
249,A,88.8639,10
0,B,98.044,10
1,B,5.73983,10
2,B,26.8018,10
3,B,44.9098,10
4,B,75.1756,10
5,B,26.2351,10
6,B,86.0296,10
7,B,15.518,10
8,B,30.6572,10
9,B,60.2003,10
10,B,82.0787,10
11,B,95.6917,10
12,B,67.3571,10
13,B,24.329,10
14,B,2.02313,10
15,B,48.7971,10
16,B,91.015,10
17,B,55.2089,10
18,B,33.7991,10
19,B,52.6583,10
20,B,19.261,10
21,B,19.6016,10
22,B,33.4483,10
23,B,0.797062,10
24,B,90.2336,10
25,B,95.967,10
26,B,62.9248,10
27,B,16.5567,10
28,B,40.0309,10
29,B,26.8157,10
30,B,60.064,10
31,B,84.5463,10
32,B,42.3846,10
33,B,74.8157,10
34,B,17.8586,10
35,B,8.67422,10
36,B,57.1585,10
37,B,23.3536,10
38,B,5.96833,10
39,B,48.0794,10
40,B,39.8339,10
41,B,62.6117,10
42,B,63.3769,10
43,B,74.0023,10
44,B,96.1713,10
45,B,86.587,10
46,B,84.1687,10
47,B,15.8568,10
48,B,57.586,10
49,B,80.7485,10
50,B,21.2237,10
51,B,0.553063,10
52,B,90.9394,10
53,B,82.2971,10
54,B,23.5214,10
55,B,87.8359,10
56,B,76.8475,10
57,B,26.4989,10
58,B,57.5041,10
59,B,23.8445,10
60,B,76.9683,10
61,B,25.5737,10
62,B,14.4375,10
63,B,12.4815,10
64,B,18.2213,10
65,B,45.0232,10
66,B,89.9329,10
67,B,65.1085,10
68,B,91.3436,10
69,B,77.3732,10
70,B,92.8913,10
71,B,23.5484,10
72,B,83.7487,10
73,B,65.8275,10
74,B,61.5192,10
75,B,28.8762,10
76,B,53.2052,10
77,B,55.2284,10
78,B,4.02547,10
79,B,95.0405,10
80,B,50.2494,10
81,B,84.0485,10
82,B,36.7068,10
83,B,55.9678,10
84,B,75.5694,10
85,B,9.01765,10
86,B,9.81471,10
87,B,0.0483527,10
88,B,96.0154,10
89,B,58.9402,10
90,B,75.4969,10
91,B,15.5277,10
92,B,42.3435,10
93,B,2.40747,10
94,B,86.9538,10
95,B,29.3384,10
96,B,4.15419,10
97,B,22.0128,10
98,B,30.687,10
99,B,87.8455,10
100,B,11.1991,10
101,B,17.1675,10
102,B,65.2469,10
103,B,5.08079,10
104,B,67.6925,10
105,B,31.0694,10
106,B,5.07169,10
107,B,1.243,10
108,B,87.83,10
109,B,71.9986,10
110,B,87.8555,10
111,B,45.4415,10
112,B,26.19,10
113,B,47.4137,10
114,B,47.9667,10
115,B,38.9061,10
116,B,21.2032,10
117,B,44.7246,10
118,B,32.5605,10
119,B,9.40796,10
120,B,35.9068,10
121,B,93.4109,10
122,B,17.2554,10
123,B,94.2237,10
124,B,19.7974,10
125,B,34.2349,10
126,B,46.7164,10
127,B,64.9378,10
128,B,9.96093,10
129,B,99.8939,10
130,B,65.0024,10
131,B,56.346,10
132,B,33.7192,10
133,B,26.6104,10
134,B,50.1588,10
135,B,33.9076,10
136,B,99.735,10
137,B,61.2542,10
138,B,90.1305,10
139,B,43.3357,10
140,B,98.5641,10
141,B,2.58955,10
142,B,97.63,10
143,B,47.8795,10
144,B,31.928,10
145,B,68.6348,10
146,B,24.6026,10
147,B,0.171955,10
148,B,9.18961,10
149,B,19.0043,10
150,B,19.0527,10
151,B,15.0681,10
152,B,74.0083,10
153,B,49.5051,10
154,B,65.0329,10
155,B,7.37632,10
156,B,9.78379,10
157,B,96.7376,10
158,B,26.0761,10
159,B,30.2302,10
160,B,52.243,10
161,B,82.93,10
162,B,70.7755,10
163,B,81.9747,10
164,B,99.1421,10
165,B,64.389,10
166,B,69.4698,10
167,B,37.1623,10
168,B,68.2317,10
169,B,73.3034,10
170,B,74.5464,10
171,B,62.3764,10
172,B,34.375,10
173,B,22.2305,10
174,B,67.6719,10
175,B,93.8619,10
176,B,41.2756,10
177,B,89.2424,10
178,B,28.1485,10
179,B,49.3517,10
180,B,94.0763,10
181,B,26.6368,10
182,B,36.0448,10
183,B,71.9516,10
184,B,65.3625,10
185,B,82.618,10
186,B,76.8417,10
187,B,96.639,10
188,B,30.8739,10
189,B,77.5904,10
190,B,42.5281,10
191,B,52.4891,10
192,B,52.3829,10
193,B,17.3853,10
194,B,73.7312,10
195,B,7.4504,10
196,B,34.0608,10
197,B,84.2197,10
198,B,18.1273,10
199,B,17.8623,10
200,B,79.1165,10
201,B,69.247,10
202,B,12.5827,10
203,B,11.1468,10
204,B,13.7363,10
205,B,11.3664,10
206,B,59.2459,10
207,B,91.1739,10
208,B,59.8087,10
209,B,84.4112,10
210,B,84.5832,10
211,B,93.7728,10
212,B,12.7771,10
213,B,31.8298,10
214,B,46.8978,10
215,B,20.9061,10
216,B,70.4112,10
217,B,35.4441,10
218,B,42.8204,10
219,B,52.6042,10
220,B,49.3418,10
221,B,75.4178,10
222,B,5.64807,10
223,B,57.8911,10
224,B,40.8211,10
225,B,11.5966,10
226,B,93.5713,10
227,B,92.7134,10
228,B,57.1024,10
229,B,26.5722,10
230,B,63.7344,10
231,B,31.9661,10
232,B,5.26949,10
233,B,79.8159,10
234,B,42.1922,10
235,B,76.5672,10
236,B,98.7977,10
237,B,66.4696,10
238,B,60.3315,10
239,B,1.60714,10
240,B,90.8495,10
241,B,18.998,10
242,B,68.3497,10
243,B,62.4261,10
244,B,89.0629,10
245,B,25.1076,10
246,B,97.0592,10
247,B,62.4218,10
248,B,45.0397,10
249,B,21.8814,10
0,C,18.5204,10
1,C,49.3943,10
2,C,26.9847,10
3,C,69.5128,10
4,C,22.0019,10
5,C,74.3848,10
6,C,91.7701,10
7,C,65.5013,10
8,C,72.9517,10
9,C,7.01254,10
10,C,91.2322,10
11,C,9.35948,10
12,C,27.2218,10
13,C,6.33829,10
14,C,75.5853,10
15,C,88.168,10
16,C,99.3148,10
17,C,13.0511,10
18,C,24.4175,10
19,C,83.6633,10
20,C,74.8372,10
21,C,34.6458,10
22,C,19.0571,10
23,C,3.64026,10
24,C,97.413,10
25,C,10.1902,10
26,C,42.0199,10
27,C,88.9178,10
28,C,9.82387,10
29,C,80.2351,10
30,C,15.6791,10
31,C,58.4995,10
32,C,11.1037,10
33,C,60.4455,10
34,C,35.8633,10
35,C,41.5113,10
36,C,99.4024,10
37,C,40.2235,10
38,C,51.8202,10
39,C,45.3914,10
40,C,38.1048,10
41,C,95.2072,10
42,C,21.7793,10
43,C,85.5138,10
44,C,17.4799,10
45,C,22.7494,10
46,C,2.56523,10
47,C,44.7574,10
48,C,21.3247,10
49,C,20.1223,10
50,C,86.5919,10
51,C,46.9234,10
52,C,48.5306,10
53,C,39.3801,10
54,C,58.3781,10
55,C,26.7278,10
56,C,89.1539,10
57,C,78.2168,10
58,C,3.32439,10
59,C,0.383629,10
60,C,62.8054,10
61,C,7.84509,10
62,C,29.7264,10
63,C,48.2468,10
64,C,97.6412,10
65,C,24.6259,10
66,C,94.1387,10
67,C,16.1406,10
68,C,90.5254,10
69,C,82.2955,10
70,C,47.7967,10
71,C,20.7484,10
72,C,27.761,10
73,C,18.9932,10
74,C,28.3527,10
75,C,55.5744,10
76,C,61.9127,10
77,C,37.498,10
78,C,25.666,10
79,C,24.9807,10
80,C,38.0318,10
81,C,62.4493,10
82,C,46.1126,10
83,C,20.9498,10
84,C,55.5957,10
85,C,74.6528,10
86,C,78.293,10
87,C,75.7061,10
88,C,85.8962,10
89,C,27.9162,10
90,C,16.8339,10
91,C,26.6578,10
92,C,6.89289,10
93,C,22.572,10
94,C,81.0715,10
95,C,92.1752,10
96,C,52.6207,10
97,C,88.484,10
98,C,29.9953,10
99,C,29.3977,10
100,C,69.6213,10
101,C,21.4414,10
102,C,66.8328,10
103,C,4.93764,10
104,C,0.144819,10
105,C,21.9242,10
106,C,7.43791,10
107,C,24.9178,10
108,C,47.6671,10
109,C,50.2324,10
110,C,94.9898,10
111,C,16.3145,10
112,C,36.4368,10
113,C,23.0287,10
114,C,69.9522,10
115,C,18.4827,10
116,C,57.8628,10
117,C,16.2409,10
118,C,42.9687,10
119,C,32.1226,10
120,C,10.3394,10
121,C,13.6637,10
122,C,14.0474,10
123,C,76.8528,10
124,C,84.6978,10
125,C,14.4243,10
126,C,62.6711,10
127,C,60.3123,10
128,C,84.9382,10
129,C,79.0768,10
130,C,95.2174,10
131,C,85.7428,10
132,C,68.0383,10
133,C,15.835,10
134,C,36.5834,10
135,C,64.3444,10
136,C,83.3376,10
137,C,11.6903,10
138,C,67.2648,10
139,C,29.1775,10
140,C,66.6755,10
141,C,92.3415,10
142,C,17.3222,10
143,C,55.3541,10
144,C,17.8034,10
145,C,63.916,10
146,C,84.8659,10
147,C,40.4615,10
148,C,15.1143,10
149,C,93.4073,10
150,C,69.1133,10
151,C,55.0096,10
152,C,82.9257,10
153,C,99.7597,10
154,C,26.4175,10
155,C,33.3104,10
156,C,55.8824,10
157,C,36.9539,10
158,C,29.1292,10
159,C,81.7498,10
160,C,70.2338,10
161,C,0.229104,10
162,C,29.6268,10
163,C,99.2481,10
164,C,20.6895,10
165,C,87.5224,10
166,C,92.46,10
167,C,92.6048,10
168,C,14.529,10
169,C,21.9669,10
170,C,46.8847,10
171,C,94.5518,10
172,C,44.7842,10
173,C,39.774,10
174,C,56.0884,10
175,C,92.5252,10
176,C,15.5539,10
177,C,85.5061,10
178,C,3.98885,10
179,C,61.8517,10
180,C,78.0926,10
181,C,21.0613,10
182,C,53.1839,10
183,C,63.5233,10
184,C,77.187,10
185,C,91.2344,10
186,C,68.0871,10
187,C,52.785,10
188,C,67.2092,10
189,C,29.8803,10
190,C,90.1926,10
191,C,75.1308,10
192,C,54.2076,10
193,C,49.4251,10
194,C,35.1679,10
195,C,3.20611,10
196,C,19.0411,10
197,C,55.6246,10
198,C,19.969,10
199,C,3.30661,10
200,C,14.9969,10
201,C,82.2617,10
202,C,11.4392,10
203,C,78.1147,10
204,C,70.4562,10
205,C,87.7784,10
206,C,43.1324,10
207,C,60.9358,10
208,C,24.8518,10
209,C,9.71768,10
210,C,50.1792,10
211,C,65.2935,10
212,C,58.7008,10
213,C,27.8141,10
214,C,82.8237,10
215,C,65.7494,10
216,C,65.5091,10
217,C,91.9266,10
218,C,25.237,10
219,C,81.1194,10
220,C,18.0733,10
221,C,47.2025,10
222,C,28.9523,10
223,C,99.1861,10
224,C,99.4152,10
225,C,29.0421,10
226,C,28.2902,10
227,C,48.9797,10
228,C,36.5021,10
229,C,28.9621,10
230,C,21.5669,10
231,C,36.0959,10
232,C,58.0628,10
233,C,4.94746,10
234,C,99.4993,10
235,C,44.2834,10
236,C,84.0574,10
237,C,40.1458,10
238,C,32.6711,10
239,C,48.225,10
240,C,33.7311,10
241,C,37.7199,10
242,C,99.5716,10
243,C,77.6642,10
244,C,98.7255,10
245,C,51.9094,10
246,C,15.4326,10
247,C,92.6196,10
248,C,83.854,10
249,C,51.9411,10
0,D,4.72606,10
1,D,71.9353,10
2,D,1.81564,10
3,D,92.0083,10
4,D,67.139,10
5,D,21.3467,10
6,D,70.7717,10
7,D,5.93958,10
8,D,9.14569,10
9,D,28.1868,10
10,D,83.8114,10
11,D,3.78034,10
12,D,7.08695,10
13,D,22.0839,10
14,D,4.34555,10
15,D,15.7847,10
16,D,93.8994,10
17,D,64.3556,10
18,D,52.1339,10
19,D,95.2664,10
20,D,56.2022,10
21,D,81.054,10
22,D,90.7717,10
23,D,40.9509,10
24,D,6.2444,10
25,D,64.9452,10
26,D,92.7593,10
27,D,75.583,10
28,D,41.3324,10
29,D,6.84151,10
30,D,98.7681,10
31,D,24.0051,10
32,D,5.12442,10
33,D,23.1977,10
34,D,70.4002,10
35,D,99.3526,10
36,D,98.5387,10
37,D,97.9539,10
38,D,26.996,10
39,D,55.2862,10
40,D,4.26587,10
41,D,40.7679,10
42,D,69.73,10
43,D,91.297,10
44,D,27.3929,10
45,D,85.4557,10
46,D,90.4031,10
47,D,89.9024,10
48,D,34.1858,10
49,D,18.2432,10
50,D,58.3891,10
51,D,91.0601,10
52,D,39.2851,10
53,D,73.0162,10
54,D,10.7362,10
55,D,10.3078,10
56,D,87.972,10
57,D,86.6975,10
58,D,38.6069,10
59,D,54.0395,10
60,D,46.6592,10
61,D,30.5131,10
62,D,82.4543,10
63,D,87.1803,10
64,D,59.1156,10
65,D,60.9313,10
66,D,52.9395,10
67,D,20.0786,10
68,D,41.4252,10
69,D,12.197,10
70,D,18.1366,10
71,D,27.2822,10
72,D,55.469,10
73,D,39.2804,10
74,D,43.0607,10
75,D,50.1477,10
76,D,72.2316,10
77,D,76.5771,10
78,D,92.3618,10
79,D,86.2612,10
80,D,50.6168,10
81,D,2.75074,10
82,D,98.0171,10
83,D,54.2193,10
84,D,35.2734,10
85,D,26.0451,10
86,D,66.996,10
87,D,73.2404,10
88,D,38.1856,10
89,D,30.9449,10
90,D,6.52787,10
91,D,47.8603,10
92,D,54.7018,10
93,D,53.4699,10
94,D,77.4749,10
95,D,82.5994,10
96,D,5.7971,10
97,D,76.1973,10
98,D,75.5499,10
99,D,74.0886,10
100,D,72.0425,10
101,D,99.0385,10
102,D,54.3246,10
103,D,58.5905,10
104,D,99.3584,10
105,D,69.0885,10
106,D,60.3854,10
107,D,87.7783,10
108,D,73.234,10
109,D,63.6371,10
110,D,53.5395,10
111,D,87.7253,10
112,D,5.96852,10
113,D,64.3576,10
114,D,55.4177,10
115,D,94.7028,10
116,D,67.719,10
117,D,78.4552,10
118,D,88.763,10
119,D,76.735,10
120,D,63.4325,10
121,D,2.03933,10
122,D,56.0788,10
123,D,2.738,10
124,D,33.2511,10
125,D,15.7054,10
126,D,2.88573,10
127,D,62.0013,10
128,D,22.9326,10
129,D,75.8721,10
130,D,95.9507,10
131,D,37.3759,10
132,D,49.5729,10
133,D,67.7094,10
134,D,94.9917,10
135,D,50.4607,10
136,D,89.7411,10
137,D,32.8019,10
138,D,82.9495,10
139,D,55.1811,10
140,D,31.7582,10
141,D,24.12,10
142,D,10.3813,10
143,D,60.9981,10
144,D,63.7488,10
145,D,61.7659,10
146,D,15.9852,10
147,D,51.2586,10
148,D,77.3037,10
149,D,44.2996,10
150,D,17.54,10
151,D,55.7256,10
152,D,86.6704,10
153,D,93.1983,10
154,D,41.0586,10
155,D,95.7604,10
156,D,49.2303,10
157,D,26.7052,10
158,D,9.30457,10
159,D,15.1017,10
160,D,91.299,10
161,D,66.8489,10
162,D,40.9374,10
163,D,12.9799,10
164,D,12.0183,10
165,D,66.343,10
166,D,24.9335,10
167,D,24.2919,10
168,D,93.3804,10
169,D,53.7658,10
170,D,41.5441,10
171,D,14.7781,10
172,D,78.4152,10
173,D,31.9547,10
174,D,19.68,10
175,D,25.6485,10
176,D,90.0061,10
177,D,45.4238,10
178,D,40.1266,10
179,D,7.84561,10
180,D,86.3008,10
181,D,75.0638,10
182,D,51.7988,10
183,D,15.2312,10
184,D,17.2706,10
185,D,73.3494,10
186,D,76.0874,10
187,D,9.33858,10
188,D,25.044,10
189,D,27.9297,10
190,D,89.9311,10
191,D,12.8637,10
192,D,88.7358,10
193,D,84.6865,10
194,D,22.0624,10
195,D,71.6353,10
196,D,39.3447,10
197,D,34.3364,10
198,D,84.7971,10
199,D,74.5382,10
200,D,7.34008,10
201,D,90.2896,10
202,D,45.4707,10
203,D,77.2289,10
204,D,1.3489,10
205,D,11.7302,10
206,D,72.7282,10
207,D,36.477,10
208,D,98.2429,10
209,D,14.2282,10
210,D,65.4868,10
211,D,42.7904,10
212,D,87.0901,10
213,D,4.63006,10
214,D,60.3556,10
215,D,47.026,10
216,D,40.2243,10
217,D,81.2829,10
218,D,77.0433,10
219,D,26.2736,10
220,D,52.9788,10
221,D,62.2834,10
222,D,77.385,10
223,D,68.684,10
224,D,35.5329,10
225,D,76.4703,10
226,D,89.4502,10
227,D,1.46858,10
228,D,67.8115,10
229,D,92.745,10
230,D,17.0369,10
231,D,10.4173,10
232,D,64.1831,10
233,D,5.72727,10
234,D,20.5054,10
235,D,98.9206,10
236,D,30.8752,10
237,D,50.5552,10
238,D,76.2037,10
239,D,66.2098,10
240,D,11.6335,10
241,D,51.7601,10
242,D,59.6057,10
243,D,45.9065,10
244,D,20.9703,10
245,D,72.7691,10
246,D,88.0004,10
247,D,5.27095,10
248,D,78.6204,10
249,D,54.7078,10
0,E,64.0464,10
1,E,89.0904,10
2,E,17.0201,10
3,E,6.95115,10
4,E,19.8148,10
5,E,8.55058,10
6,E,93.237,10
7,E,15.2994,10
8,E,86.9347,10
9,E,26.2794,10
10,E,60.6157,10
11,E,45.4128,10
12,E,19.9511,10
13,E,27.2911,10
14,E,17.5808,10
15,E,63.0515,10
16,E,40.2803,10
17,E,41.6292,10
18,E,53.3594,10
19,E,26.0876,10
20,E,62.5646,10
21,E,60.8075,10
22,E,75.0357,10
23,E,40.5225,10
24,E,83.3129,10
25,E,70.403,10
26,E,75.0331,10
27,E,35.3887,10
28,E,82.4147,10
29,E,22.6391,10
30,E,3.92199,10
31,E,80.9653,10
32,E,7.23886,10
33,E,60.2176,10
34,E,22.501,10
35,E,99.886,10
36,E,68.5701,10
37,E,4.10297,10
38,E,80.5733,10
39,E,70.0235,10
40,E,71.4921,10
41,E,39.3037,10
42,E,32.0487,10
43,E,49.0856,10
44,E,59.5029,10
45,E,23.686,10
46,E,29.4133,10
47,E,49.9187,10
48,E,48.8392,10
49,E,79.7145,10
50,E,30.2697,10
51,E,6.47339,10
52,E,72.6832,10
53,E,84.3167,10
54,E,36.0768,10
55,E,95.6825,10
56,E,41.589,10
57,E,62.5594,10
58,E,35.3285,10
59,E,23.3289,10
60,E,28.5998,10
61,E,7.22021,10
62,E,61.928,10
63,E,25.9744,10
64,E,15.0648,10
65,E,32.0849,10
66,E,39.036,10
67,E,58.8508,10
68,E,67.4014,10
69,E,60.6385,10
70,E,75.9379,10
71,E,62.8725,10
72,E,89.1519,10
73,E,49.7676,10
74,E,95.1805,10
75,E,15.1315,10
76,E,42.4227,10
77,E,60.0034,10
78,E,23.0549,10
79,E,63.3352,10
80,E,4.96445,10
81,E,58.3238,10
82,E,84.4114,10
83,E,46.976,10
84,E,7.78357,10
85,E,82.8193,10
86,E,23.3418,10
87,E,6.65472,10
88,E,77.0577,10
89,E,52.0908,10
90,E,87.4795,10
91,E,69.8942,10
92,E,92.5333,10
93,E,96.4553,10
94,E,77.4206,10
95,E,84.6594,10
96,E,44.8771,10
97,E,67.3781,10
98,E,67.2641,10
99,E,35.8342,10
100,E,39.9371,10
101,E,20.5104,10
102,E,90.534,10
103,E,62.0261,10
104,E,1.32975,10
105,E,33.3784,10
106,E,82.464,10
107,E,41.9669,10
108,E,65.6529,10
109,E,95.0662,10
110,E,44.9849,10
111,E,93.8241,10
112,E,73.5386,10
113,E,3.80828,10
114,E,10.2817,10
115,E,82.9648,10
116,E,67.2815,10
117,E,3.35831,10
118,E,99.0408,10
119,E,40.6299,10
120,E,3.18923,10
121,E,38.5177,10
122,E,61.8466,10
123,E,90.4464,10
124,E,97.6666,10
125,E,59.5947,10
126,E,85.5691,10
127,E,0.633879,10
128,E,32.7188,10
129,E,71.7548,10
130,E,30.6056,10
131,E,98.0071,10
132,E,58.6455,10
133,E,34.5834,10
134,E,97.4559,10
135,E,86.6078,10
136,E,36.3754,10
137,E,31.5558,10
138,E,46.6874,10
139,E,89.1101,10
140,E,49.1135,10
141,E,72.1684,10
142,E,35.5036,10
143,E,40.4681,10
144,E,98.7919,10
145,E,83.2033,10
146,E,30.1794,10
147,E,37.9629,10
148,E,20.7822,10
149,E,44.124,10
150,E,50.7787,10
151,E,27.8364,10
152,E,79.9272,10
153,E,67.4067,10
154,E,37.3009,10
155,E,29.8342,10
156,E,26.2894,10
157,E,3.70999,10
158,E,88.3694,10
159,E,33.2465,10
160,E,0.624526,10
161,E,67.8886,10
162,E,3.72278,10
163,E,43.6599,10
164,E,64.1703,10
165,E,54.7043,10
166,E,16.7304,10
167,E,18.0602,10
168,E,51.4386,10
169,E,33.9026,10
170,E,75.8695,10
171,E,41.5224,10
172,E,36.5886,10
173,E,81.5735,10
174,E,75.3976,10
175,E,48.9362,10
176,E,52.7445,10
177,E,63.0261,10
178,E,45.991,10
179,E,13.2725,10
180,E,16.6308,10
181,E,15.6716,10
182,E,56.3015,10
183,E,59.4907,10
184,E,98.0084,10
185,E,59.855,10
186,E,50.3015,10
187,E,47.9681,10
188,E,7.56279,10
189,E,93.1319,10
190,E,93.7658,10
191,E,26.4845,10
192,E,98.2393,10
193,E,28.845,10
194,E,26.852,10
195,E,85.4975,10
196,E,20.0809,10
197,E,17.5368,10
198,E,4.14458,10
199,E,40.52,10
200,E,72.0758,10
201,E,18.7632,10
202,E,7.87323,10
203,E,56.9867,10
204,E,29.1551,10
205,E,64.6587,10
206,E,5.12676,10
207,E,3.91865,10
208,E,87.122,10
209,E,17.3013,10
210,E,55.2642,10
211,E,76.0465,10
212,E,20.1705,10
213,E,70.9492,10
214,E,98.7856,10
215,E,78.7129,10
216,E,46.1196,10
217,E,83.4205,10
218,E,13.2546,10
219,E,39.5441,10
220,E,43.2541,10
221,E,31.6235,10
222,E,64.8699,10
223,E,65.4945,10
224,E,33.3831,10
225,E,37.1059,10
226,E,80.7658,10
227,E,44.9361,10
228,E,99.6404,10
229,E,16.3708,10
230,E,34.431,10
231,E,85.8696,10
232,E,19.7722,10
233,E,95.6417,10
234,E,37.1641,10
235,E,73.7527,10
236,E,55.3262,10
237,E,30.7238,10
238,E,79.66,10
239,E,32.4045,10
240,E,95.4306,10
241,E,41.4216,10
242,E,54.6941,10
243,E,71.3249,10
244,E,86.9965,10
245,E,43.298,10
246,E,2.78873,10
247,E,0.797172,10
248,E,60.6522,10
249,E,10.9537,10
0,F,58.9218,10
1,F,66.4846,10
2,F,59.6165,10
3,F,53.3822,10
4,F,79.8668,10
5,F,78.1061,10
6,F,6.95103,10
7,F,33.8031,10
8,F,19.3006,10
9,F,39.3815,10
10,F,56.9183,10
11,F,61.0629,10
12,F,1.58287,10
13,F,73.6587,10
14,F,92.4219,10
15,F,0.295089,10
16,F,57.2818,10
17,F,86.4369,10
18,F,51.0956,10
19,F,56.2224,10
20,F,60.141,10
21,F,47.263,10
22,F,64.5643,10
23,F,19.8286,10
24,F,95.875,10
25,F,16.0455,10
26,F,86.9947,10
27,F,85.7803,10
28,F,64.4932,10
29,F,10.6127,10
30,F,94.0332,10
31,F,7.28785,10
